"MATERIAL","CHAR","CHARVALUE","ACTIVE"
"30ATCTO1WW","EPCPU","INTEL XEON E3_1220V5 3.0GHZ","X"
"30ATCTO1WW","EPCPU","INTEL XEON E3_1225V5 3.3GHZ","X"
"30ATCTO1WW","EPCPU","INTEL XEON E3_1230V5 3.4GHZ","X"
"30ATCTO1WW","EPCPU","INTEL XEON E3_1240V5 3.5GHZ","X"
"30ATCTO1WW","EPCPU","INTEL XEON E3_1245V5 3.5GHZ","X"
"30ATCTO1WW","EPCPU","INTEL XEON E3_1270V5 3.6GHZ","X"
"30ATCTO1WW","EPCPU","INTEL XEON E3_1275V5 3.6GHZ","X"
"30ATCTO1WW","EPCPU","INTEL XEON E3_1280V5 3.7GHZ","X"
"30ATCTO1WW","EPESATAPROT","ESATA PORT","X"
"30ATCTO1WW","EPESATAPROT","NO ESATA PORT SELECTED","X"
"30ATCTO1WW","EPETHERNET","BITLAND BN8E88 1 PORT FH","X"
